DATE,CURRENCY,IMPACT,EVENT,ACTUAL,FORECAST,PREVIOUS
2014-01-23 11:00:00,USD,Low Impact Expected,CB Leading Index m/m,0.1%,0.2%,1.0%
2014-01-23 11:30:00,USD,Low Impact Expected,Natural Gas Storage,-107B,-112B,-287B
2014-01-23 12:00:00,USD,Medium Impact Expected,Crude Oil Inventories,1.0M,0.7M,-7.7M
2014-01-23 22:10:00,NZD,Low Impact Expected,Credit Card Spending y/y,4.7%,,6.9%
2014-01-24 05:00:00,EUR,Low Impact Expected,Italian Retail Sales m/m,0.0%,0.4%,-0.1%
2014-01-24 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2014-01-24 05:30:00,GBP,Medium Impact Expected,High Street Lending,46.5K,47.2K,45.4K
2014-01-24 08:05:00,GBP,High Impact Expected,BOE Gov Carney Speaks,,,
2014-01-24 09:30:00,CAD,High Impact Expected,Core CPI m/m,-0.4%,-0.4%,-0.1%
2014-01-24 09:30:00,CAD,Medium Impact Expected,CPI m/m,-0.2%,-0.2%,0.0%
2014-01-24 10:00:00,EUR,Medium Impact Expected,Belgian NBB Business Climate,-5.6,-4.4,-6.4
2014-01-24 13:00:00,EUR,High Impact Expected,ECB President Draghi Speaks,,,
2014-01-25 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2014-01-26 00:00:00,AUD,Non-Economic,Bank Holiday,,,
2014-01-26 19:50:00,JPY,Medium Impact Expected,Monetary Policy Meeting Minutes,,,
2014-01-26 19:50:00,JPY,Medium Impact Expected,Trade Balance,-1.15T,-1.33T,-1.29T
2014-01-27 05:00:00,EUR,High Impact Expected,German Ifo Business Climate,110.6,110.2,109.5
2014-01-27 00:00:00,EUR,Medium Impact Expected,Eurogroup Meetings,,,
2014-01-27 07:00:00,EUR,Medium Impact Expected,German Buba Monthly Report,,,
2014-01-27 10:00:00,USD,Low Impact Expected,Flash Services PMI,56.6,56.2,55.7
2014-01-27 11:00:00,USD,High Impact Expected,New Home Sales,414K,457K,445K
2014-01-27 14:00:00,EUR,Medium Impact Expected,German Buba President Weidmann Speaks,,,
2014-01-27 19:00:00,AUD,Medium Impact Expected,CB Leading Index m/m,0.2%,,0.5%
2014-01-27 19:50:00,JPY,Low Impact Expected,SPPI y/y,1.3%,1.1%,1.2%
2014-01-27 20:30:00,AUD,High Impact Expected,NAB Business Confidence,6,,6
2014-01-28 03:00:00,EUR,Low Impact Expected,German Import Prices m/m,0.0%,0.3%,0.1%
2014-01-28 05:30:00,GBP,High Impact Expected,Prelim GDP q/q,0.7%,0.7%,0.8%
2014-01-28 05:30:00,GBP,Low Impact Expected,Index of Services 3m/3m,0.8%,0.7%,0.8%
2014-01-28 00:00:00,EUR,Medium Impact Expected,ECOFIN Meetings,,,
2014-01-28 09:30:00,USD,High Impact Expected,Core Durable Goods Orders m/m,-1.6%,0.7%,2.4%
2014-01-28 09:30:00,USD,Medium Impact Expected,Durable Goods Orders m/m,-4.3%,1.9%,3.4%
2014-01-28 10:00:00,USD,Medium Impact Expected,S&P/CS Composite-20 HPI y/y,13.7%,13.7%,13.6%
2014-01-28 10:59:00,USD,Low Impact Expected,Richmond Manufacturing Index,12,13,13
2014-01-28 11:00:00,USD,High Impact Expected,CB Consumer Confidence,80.7,78.3,77.5
2014-01-28 19:30:00,AUD,Low Impact Expected,MI Leading Index m/m,0.1%,,-0.1%
2014-01-28 22:00:00,USD,Low Impact Expected,President Obama Speaks,,,
2014-01-29 03:00:00,CHF,Low Impact Expected,UBS Consumption Indicator,1.81,,1.40
2014-01-29 03:00:00,EUR,Medium Impact Expected,German GfK Consumer Climate,8.2,7.8,7.7
2014-01-29 03:00:00,GBP,Medium Impact Expected,Nationwide HPI m/m,0.7%,0.7%,1.4%
2014-01-29 05:00:00,EUR,Medium Impact Expected,M3 Money Supply y/y,1.0%,1.7%,1.5%
2014-01-29 05:00:00,EUR,Low Impact Expected,Private Loans y/y,-2.3%,-2.3%,-2.3%
2014-01-29 06:33:00,EUR,Medium Impact Expected,German 10-y Bond Auction,1.77|1.8,,1.69|1.7
2014-01-29 09:15:00,GBP,High Impact Expected,BOE Gov Carney Speaks,,,
2014-01-29 11:30:00,USD,Medium Impact Expected,Crude Oil Inventories,6.4M,2.2M,1.0M
2014-01-29 15:00:00,USD,High Impact Expected,FOMC Statement,,,
2014-01-29 15:00:00,USD,Medium Impact Expected,Federal Funds Rate,<0.25%,<0.25%,<0.25%
2014-01-29 16:00:00,NZD,High Impact Expected,Official Cash Rate,2.50%,2.50%,2.50%
2014-01-29 16:00:00,NZD,High Impact Expected,RBNZ Rate Statement,,,
2014-01-29 17:45:00,NZD,Medium Impact Expected,Building Consents m/m,7.6%,,12.5%
2014-01-29 17:45:00,NZD,Low Impact Expected,Visitor Arrivals m/m,0.2%,,3.3%
2014-01-29 19:50:00,JPY,Medium Impact Expected,Retail Sales y/y,2.6%,3.9%,4.1%
2014-01-29 20:00:00,AUD,Medium Impact Expected,HIA New Home Sales m/m,-0.4%,,7.5%
2014-01-29 20:30:00,AUD,Medium Impact Expected,Import Prices q/q,-0.6%,1.5%,6.1%
2014-01-29 21:45:00,CNY,Medium Impact Expected,Caixin Manufacturing PMI,49.5,49.6,49.6
2014-01-30 00:00:00,EUR,Medium Impact Expected,German Prelim CPI m/m,-0.6%,-0.4%,0.4%
2014-01-30 04:00:00,CHF,Medium Impact Expected,KOF Economic Barometer,1.98,2.02,1.95
2014-01-30 04:00:00,EUR,Medium Impact Expected,Spanish Flash GDP q/q,0.3%,0.3%,0.1%
2014-01-30 04:55:00,EUR,Medium Impact Expected,German Unemployment Change,-28K,-5K,-19K
2014-01-30 05:30:00,GBP,Medium Impact Expected,Net Lending to Individuals m/m,2.3B,1.9B,1.8B
2014-01-30 05:30:00,GBP,Low Impact Expected,M4 Money Supply m/m,-1.4%,0.3%,0.1%
2014-01-30 05:30:00,GBP,Low Impact Expected,Mortgage Approvals,72K,73K,71K
2014-01-30 06:16:00,EUR,Medium Impact Expected,Italian 10-y Bond Auction,3.81|1.3,,4.11|1.3
2014-01-30 09:30:00,USD,High Impact Expected,Advance GDP q/q,3.2%,3.3%,4.1%
2014-01-30 09:30:00,USD,High Impact Expected,Unemployment Claims,348K,331K,329K
2014-01-30 09:30:00,USD,Medium Impact Expected,Advance GDP Price Index q/q,1.3%,1.2%,2.0%
2014-01-30 11:00:00,USD,High Impact Expected,Pending Home Sales m/m,-8.7%,-0.1%,-0.3%
2014-01-30 11:30:00,USD,Low Impact Expected,Natural Gas Storage,-230B,-225B,-107B
2014-01-30 17:45:00,NZD,High Impact Expected,Trade Balance,523M,550M,183M
2014-01-30 19:00:00,NZD,High Impact Expected,RBNZ Gov Wheeler Speaks,,,
2014-01-30 19:15:00,JPY,Low Impact Expected,Final Manufacturing PMI,56.6,,55.2
2014-01-30 19:30:00,JPY,Medium Impact Expected,Household Spending y/y,0.7%,1.2%,0.2%
2014-01-30 19:30:00,JPY,Medium Impact Expected,Tokyo Core CPI y/y,0.7%,0.7%,0.7%
2014-01-30 19:30:00,JPY,Low Impact Expected,National Core CPI y/y,1.3%,1.2%,1.2%
2014-01-30 19:30:00,JPY,Low Impact Expected,Unemployment Rate,3.7%,3.9%,4.0%
2014-01-30 19:50:00,JPY,Medium Impact Expected,Prelim Industrial Production m/m,1.1%,1.3%,-0.1%
2014-01-30 19:58:00,GBP,Low Impact Expected,GfK Consumer Confidence,-7,-12,-13
2014-01-30 00:00:00,CNY,Non-Economic,Bank Holiday,,,
2014-01-30 20:30:00,AUD,High Impact Expected,PPI q/q,0.2%,0.7%,1.3%
2014-01-30 20:30:00,AUD,Medium Impact Expected,Private Sector Credit m/m,0.5%,0.4%,0.3%
2014-01-31 01:00:00,JPY,Low Impact Expected,Housing Starts y/y,18.0%,13.9%,14.1%
2014-01-31 03:00:00,EUR,Medium Impact Expected,German Retail Sales m/m,-2.5%,0.2%,0.9%
2014-01-31 03:45:00,EUR,Medium Impact Expected,French Consumer Spending m/m,-0.1%,-0.2%,1.4%
2014-01-31 04:00:00,EUR,Medium Impact Expected,Spanish Flash CPI y/y,0.2%,0.2%,0.3%
2014-01-31 05:00:00,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,12.7%,12.7%,12.8%
2014-01-31 06:00:00,EUR,High Impact Expected,CPI Flash Estimate y/y,0.7%,0.9%,0.8%
2014-01-31 06:00:00,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,0.8%,,0.7%
2014-01-31 06:00:00,EUR,Medium Impact Expected,Unemployment Rate,12.0%,12.1%,12.0%
2014-01-31 09:30:00,CAD,High Impact Expected,GDP m/m,0.2%,0.2%,0.3%
