DATE,CURRENCY,IMPACT,EVENT,ACTUAL,FORECAST,PREVIOUS
2018-01-16 05:30:00,GBP,Low Impact Expected,PPI Output m/m,0.4%,0.2%,0.4%
2018-01-16 06:07:00,EUR,Low Impact Expected,Italian Trade Balance,4.83B,5.22B,4.99B
2018-01-16 09:30:00,USD,Medium Impact Expected,Empire State Manufacturing Index,17.7,18.5,18.0
2018-01-16 10:21:00,NZD,Medium Impact Expected,GDT Price Index,4.9%,,2.2%
2018-01-16 10:30:00,GBP,Low Impact Expected,CB Leading Index m/m,-0.2%,,-0.2%
2018-01-16 13:00:00,CHF,High Impact Expected,SNB Chairman Jordan Speaks,,,
2018-01-16 19:30:00,AUD,Low Impact Expected,Westpac Consumer Sentiment,1.8%,,3.6%
2018-01-16 19:50:00,JPY,Low Impact Expected,Core Machinery Orders m/m,5.7%,-1.3%,5.0%
2018-01-16 20:00:00,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-2.2%,,-0.9%
2018-01-16 20:30:00,AUD,Low Impact Expected,Home Loans m/m,2.1%,-0.1%,-0.3%
2018-01-17 06:00:00,EUR,Medium Impact Expected,Final CPI y/y,1.4%,1.4%,1.5%
2018-01-17 06:00:00,EUR,Low Impact Expected,Final Core CPI y/y,0.9%,0.9%,0.9%
2018-01-17 06:32:00,EUR,Low Impact Expected,German 30-y Bond Auction,1.28|1.4,,1.20|1.7
2018-01-17 07:45:00,GBP,Medium Impact Expected,MPC Member Saunders Speaks,,,
2018-01-17 10:15:00,USD,Medium Impact Expected,Capacity Utilization Rate,77.9%,77.3%,77.2%
2018-01-17 10:15:00,USD,Medium Impact Expected,Industrial Production m/m,0.9%,0.4%,-0.1%
2018-01-17 11:00:00,CAD,High Impact Expected,BOC Monetary Policy Report,,,
2018-01-17 11:00:00,CAD,High Impact Expected,BOC Rate Statement,,,
2018-01-17 11:00:00,CAD,High Impact Expected,Overnight Rate,1.25%,1.25%,1.00%
2018-01-17 11:00:00,USD,Low Impact Expected,NAHB Housing Market Index,72,73,74
2018-01-17 12:15:00,CAD,High Impact Expected,BOC Press Conference,,,
2018-01-17 15:00:00,USD,Low Impact Expected,Beige Book,,,
2018-01-17 17:00:00,USD,Low Impact Expected,TIC Long-Term Purchases,57.5B,50.1B,26.2B
2018-01-17 17:30:00,USD,Medium Impact Expected,FOMC Member Mester Speaks,,,
2018-01-17 20:00:00,AUD,Low Impact Expected,MI Inflation Expectations,3.7%,,3.7%
2018-01-17 20:01:00,GBP,Low Impact Expected,RICS House Price Balance,8%,-1%,0%
2018-01-17 20:18:00,AUD,Low Impact Expected,HIA New Home Sales m/m,0.7%,,1.6%
2018-01-17 20:30:00,AUD,High Impact Expected,Employment Change,34.7K,13.2K,63.6K
2018-01-17 20:30:00,AUD,High Impact Expected,Unemployment Rate,5.5%,5.4%,5.4%
2018-01-17 23:45:00,JPY,Low Impact Expected,30-y Bond Auction,0.83|3.8,,0.85|4.4
2018-01-18 00:30:00,JPY,Low Impact Expected,Revised Industrial Production m/m,0.5%,0.6%,0.6%
2018-01-18 03:00:00,CNY,High Impact Expected,GDP q/y,6.8%,6.7%,6.8%
2018-01-18 03:00:00,CNY,Medium Impact Expected,Fixed Asset Investment ytd/y,7.2%,7.1%,7.2%
2018-01-18 03:00:00,CNY,Medium Impact Expected,Industrial Production y/y,6.2%,6.1%,6.1%
2018-01-18 03:00:00,CNY,Medium Impact Expected,NBS Press Conference,,,
2018-01-18 03:00:00,CNY,Low Impact Expected,Retail Sales y/y,9.4%,10.1%,10.2%
2018-01-18 04:00:00,EUR,Medium Impact Expected,German Buba President Weidmann Speaks,,,
2018-01-18 09:30:00,USD,High Impact Expected,Building Permits,1.30M,1.29M,1.30M
2018-01-18 09:30:00,USD,Medium Impact Expected,Housing Starts,1.19M,1.28M,1.30M
2018-01-18 09:30:00,USD,Medium Impact Expected,Philly Fed Manufacturing Index,22.2,24.9,26.2
2018-01-18 09:30:00,USD,Medium Impact Expected,Unemployment Claims,220K,250K,261K
2018-01-18 09:32:00,CAD,Low Impact Expected,ADP Non-Farm Employment Change,-7.1K,,59.2K
2018-01-18 11:30:00,USD,Low Impact Expected,Natural Gas Storage,-183B,-201B,-359B
2018-01-18 12:00:00,USD,High Impact Expected,Crude Oil Inventories,-6.9M,-1.4M,-4.9M
2018-01-18 17:30:00,NZD,Medium Impact Expected,Business NZ Manufacturing Index,51.2,,57.7
2018-01-19 03:00:00,EUR,Low Impact Expected,German PPI m/m,0.2%,0.2%,0.1%
2018-01-19 04:15:00,CHF,Medium Impact Expected,PPI m/m,0.2%,0.4%,0.6%
2018-01-19 05:00:00,EUR,Low Impact Expected,Current Account,32.5B,31.3B,30.3B
2018-01-19 05:29:00,GBP,High Impact Expected,Retail Sales m/m,-1.5%,-0.8%,1.0%
2018-01-19 09:30:00,CAD,Medium Impact Expected,Foreign Securities Purchases,19.56B,15.76B,20.77B
2018-01-19 09:30:00,CAD,Medium Impact Expected,Manufacturing Sales m/m,3.4%,1.9%,-0.6%
2018-01-19 09:55:00,USD,Medium Impact Expected,FOMC Member Bostic Speaks,,,
2018-01-19 11:00:00,USD,Medium Impact Expected,Prelim UoM Consumer Sentiment,94.4,97.0,95.9
2018-01-19 11:00:00,USD,Low Impact Expected,Prelim UoM Inflation Expectations,2.8%,,2.7%
2018-01-19 13:15:00,USD,Medium Impact Expected,FOMC Member Quarles Speaks,,,
2018-01-19 14:30:00,USD,Medium Impact Expected,FOMC Member Williams Speaks,,,
2018-01-21 00:00:00,All,Medium Impact Expected,OPEC-JMMC Meetings,,,
2018-01-22 00:00:00,EUR,Low Impact Expected,Eurogroup Meetings,,,
2018-01-22 07:00:00,EUR,Low Impact Expected,German Buba Monthly Report,,,
2018-01-22 09:30:00,CAD,Medium Impact Expected,Wholesale Sales m/m,0.7%,1.0%,1.6%
2018-01-22 23:14:00,JPY,High Impact Expected,BOJ Outlook Report,,,
2018-01-22 23:14:00,JPY,High Impact Expected,Monetary Policy Statement,,,
2018-01-22 23:14:00,JPY,Medium Impact Expected,BOJ Policy Rate,-0.10%,-0.10%,-0.10%
2018-01-23 00:30:00,JPY,Low Impact Expected,All Industries Activity m/m,1.0%,0.9%,0.3%
2018-01-23 02:30:00,JPY,High Impact Expected,BOJ Press Conference,,,
2018-01-23 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2018-01-23 05:30:00,GBP,Medium Impact Expected,Public Sector Net Borrowing,1.0B,4.2B,6.6B
2018-01-23 06:00:00,EUR,Medium Impact Expected,German ZEW Economic Sentiment,20.4,17.8,17.4
2018-01-23 06:00:00,EUR,Low Impact Expected,ZEW Economic Sentiment,31.8,29.7,29.0
2018-01-23 00:00:00,EUR,Low Impact Expected,ECOFIN Meetings,,,
2018-01-23 07:00:00,GBP,Low Impact Expected,CBI Industrial Order Expectations,14,13,17
2018-01-23 10:59:00,USD,Low Impact Expected,Richmond Manufacturing Index,14,19,20
2018-01-23 11:00:00,EUR,Low Impact Expected,Consumer Confidence,1,1,1
2018-01-23 19:30:00,AUD,Low Impact Expected,MI Leading Index m/m,0.3%,,0.1%
2018-01-23 19:50:00,JPY,Low Impact Expected,Trade Balance,0.09T,0.27T,0.29T
2018-01-23 20:30:00,JPY,Low Impact Expected,Flash Manufacturing PMI,54.4,54.3,54.0
2018-01-23 22:00:00,NZD,Low Impact Expected,Credit Card Spending y/y,6.3%,,9.1%
2018-01-24 04:00:00,EUR,Medium Impact Expected,French Flash Manufacturing PMI,58.1,58.7,58.8
2018-01-24 04:00:00,EUR,Medium Impact Expected,French Flash Services PMI,59.3,58.9,59.1
2018-01-24 04:30:00,EUR,Medium Impact Expected,German Flash Manufacturing PMI,61.2,63.2,63.3
2018-01-24 04:30:00,EUR,Medium Impact Expected,German Flash Services PMI,57.0,55.6,55.8
2018-01-24 05:00:00,EUR,Medium Impact Expected,Flash Manufacturing PMI,59.6,60.4,60.6
2018-01-24 05:00:00,EUR,Medium Impact Expected,Flash Services PMI,57.6,56.5,56.6
2018-01-24 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2018-01-24 05:30:00,GBP,High Impact Expected,Average Earnings Index 3m/y,2.5%,2.5%,2.5%
2018-01-24 05:30:00,GBP,Medium Impact Expected,Claimant Count Change,8.6K,2.3K,12.2K
2018-01-24 05:30:00,GBP,Medium Impact Expected,Unemployment Rate,4.3%,4.3%,4.3%
2018-01-24 10:00:00,USD,Low Impact Expected,HPI m/m,0.4%,0.4%,0.6%
2018-01-24 10:45:00,USD,Low Impact Expected,Flash Manufacturing PMI,55.5,55.2,55.1
2018-01-24 10:45:00,USD,Low Impact Expected,Flash Services PMI,53.3,54.5,53.7
2018-01-24 11:00:00,USD,Medium Impact Expected,Existing Home Sales,5.57M,5.72M,5.78M
2018-01-24 11:30:00,AUD,Low Impact Expected,CB Leading Index m/m,0.3%,,0.3%
2018-01-24 11:30:00,USD,High Impact Expected,Crude Oil Inventories,-1.1M,-1.0M,-6.9M
2018-01-24 17:45:00,NZD,High Impact Expected,CPI q/q,0.1%,0.4%,0.5%
2018-01-25 03:00:00,EUR,Low Impact Expected,German GfK Consumer Climate,11.0,10.8,10.8
2018-01-25 04:00:00,EUR,Medium Impact Expected,Spanish Unemployment Rate,16.6%,16.1%,16.4%
2018-01-25 05:00:00,EUR,Medium Impact Expected,German Ifo Business Climate,117.6,117.1,117.2
2018-01-25 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2018-01-25 05:30:00,GBP,Low Impact Expected,High Street Lending,36.1K,39.9K,39.0K
2018-01-25 07:00:00,GBP,Low Impact Expected,CBI Realized Sales,12,12,20
2018-01-25 08:45:00,EUR,High Impact Expected,Main Refinancing Rate,0.00%,0.00%,0.00%
2018-01-25 09:30:00,CAD,High Impact Expected,Core Retail Sales m/m,1.6%,0.8%,0.8%
2018-01-25 09:30:00,CAD,Medium Impact Expected,Retail Sales m/m,0.2%,0.7%,1.6%
2018-01-25 09:30:00,EUR,High Impact Expected,ECB Press Conference,,,
2018-01-25 09:30:00,USD,Medium Impact Expected,Unemployment Claims,233K,239K,216K
2018-01-25 10:00:00,EUR,Low Impact Expected,Belgian NBB Business Climate,1.8,0.4,0.1
2018-01-25 11:00:00,USD,Medium Impact Expected,New Home Sales,625K,679K,689K
2018-01-25 11:00:00,USD,Low Impact Expected,CB Leading Index m/m,0.6%,0.5%,0.4%
2018-01-25 11:30:00,USD,Low Impact Expected,Natural Gas Storage,-288B,-270B,-183B
2018-01-25 00:00:00,AUD,Non-Economic,Bank Holiday,,,
2018-01-25 19:30:00,JPY,Low Impact Expected,National Core CPI y/y,0.9%,0.9%,0.9%
2018-01-25 19:30:00,JPY,Low Impact Expected,Tokyo Core CPI y/y,0.7%,0.8%,0.8%
2018-01-25 19:50:00,JPY,Low Impact Expected,Monetary Policy Meeting Minutes,,,
2018-01-25 19:50:00,JPY,Low Impact Expected,SPPI y/y,0.8%,0.8%,0.8%
2018-01-26 05:00:00,EUR,Medium Impact Expected,M3 Money Supply y/y,4.6%,4.9%,4.9%
2018-01-26 05:00:00,EUR,Low Impact Expected,Private Loans y/y,2.8%,2.9%,2.8%
2018-01-26 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2018-01-26 05:30:00,GBP,High Impact Expected,Prelim GDP q/q,0.5%,0.4%,0.4%
2018-01-26 05:30:00,GBP,Low Impact Expected,Index of Services 3m/3m,0.4%,0.4%,0.3%
2018-01-26 09:07:00,USD,High Impact Expected,President Trump Speaks,,,
2018-01-26 09:30:00,CAD,High Impact Expected,CPI m/m,-0.4%,-0.3%,0.3%
2018-01-26 09:30:00,CAD,Medium Impact Expected,Common CPI y/y,1.6%,,1.5%
2018-01-26 09:30:00,CAD,Medium Impact Expected,Median CPI y/y,1.9%,,1.9%
2018-01-26 09:30:00,CAD,Medium Impact Expected,Trimmed CPI y/y,1.9%,,1.8%
2018-01-26 09:30:00,USD,High Impact Expected,Advance GDP q/q,2.6%,3.0%,3.2%
2018-01-26 09:30:00,USD,High Impact Expected,Core Durable Goods Orders m/m,0.6%,0.5%,0.3%
2018-01-26 09:30:00,USD,Medium Impact Expected,Advance GDP Price Index q/q,2.4%,2.3%,2.1%
2018-01-26 09:30:00,USD,Medium Impact Expected,Durable Goods Orders m/m,2.9%,0.9%,1.7%
2018-01-26 09:30:00,USD,Low Impact Expected,Goods Trade Balance,-71.6B,-68.6B,-70.0B
2018-01-26 09:30:00,USD,Low Impact Expected,Prelim Wholesale Inventories m/m,0.2%,0.4%,0.8%
2018-01-26 09:33:00,CAD,Low Impact Expected,Core CPI m/m,-0.5%,,-0.1%
2018-01-26 10:00:00,CNY,Low Impact Expected,CB Leading Index m/m,1.7%,,1.9%
2018-01-26 10:00:00,GBP,High Impact Expected,BOE Gov Carney Speaks,,,
2018-01-26 10:00:00,JPY,High Impact Expected,BOJ Gov Kuroda Speaks,,,
2018-01-29 03:00:00,EUR,Low Impact Expected,German Import Prices m/m,0.3%,0.3%,0.8%
2018-01-29 09:30:00,USD,Medium Impact Expected,Core PCE Price Index m/m,0.2%,0.2%,0.1%
2018-01-29 09:30:00,USD,Medium Impact Expected,Personal Spending m/m,0.4%,0.5%,0.8%
2018-01-29 09:30:00,USD,Low Impact Expected,Personal Income m/m,0.4%,0.3%,0.3%
2018-01-29 17:45:00,NZD,Medium Impact Expected,Trade Balance,640M,-125M,-1233M
2018-01-29 19:30:00,JPY,Low Impact Expected,Household Spending y/y,-0.1%,1.6%,1.7%
2018-01-29 19:30:00,JPY,Low Impact Expected,Unemployment Rate,2.8%,2.7%,2.7%
2018-01-29 19:50:00,JPY,Low Impact Expected,Retail Sales y/y,3.6%,2.1%,2.1%
2018-01-29 20:30:00,AUD,Medium Impact Expected,NAB Business Confidence,11,,7
2018-01-30 01:00:00,JPY,Low Impact Expected,BOJ Core CPI y/y,0.7%,0.5%,0.6%
2018-01-30 02:30:00,EUR,Low Impact Expected,French Flash GDP q/q,0.6%,0.5%,0.6%
2018-01-30 03:00:00,CHF,Low Impact Expected,Trade Balance,2.63B,2.54B,2.58B
2018-01-30 00:00:00,EUR,Medium Impact Expected,German Prelim CPI m/m,-0.7%,-0.5%,0.6%
2018-01-30 03:45:00,EUR,Low Impact Expected,French Consumer Spending m/m,-1.2%,0.4%,3.0%
2018-01-30 04:00:00,CHF,Medium Impact Expected,KOF Economic Barometer,106.9,110.9,111.4
2018-01-30 04:00:00,EUR,Medium Impact Expected,Spanish Flash GDP q/q,0.7%,0.7%,0.8%
2018-01-30 05:30:00,GBP,Medium Impact Expected,Net Lending to Individuals m/m,5.2B,4.8B,5.2B
2018-01-30 05:30:00,GBP,Low Impact Expected,M4 Money Supply m/m,-0.6%,0.2%,0.2%
2018-01-30 05:30:00,GBP,Low Impact Expected,Mortgage Approvals,61K,66K,65K
2018-01-30 06:00:00,EUR,Medium Impact Expected,Prelim Flash GDP q/q,0.6%,0.6%,0.6%
2018-01-30 06:15:00,EUR,Low Impact Expected,Italian 10-y Bond Auction,2.06|1.3,,1.86|1.8
2018-01-30 10:00:00,USD,Low Impact Expected,S&P/CS Composite-20 HPI y/y,6.4%,6.3%,6.3%
2018-01-30 11:00:00,USD,High Impact Expected,CB Consumer Confidence,125.4,123.2,123.1
2018-01-30 11:30:00,GBP,High Impact Expected,BOE Gov Carney Speaks,,,
2018-01-30 19:50:00,JPY,Low Impact Expected,BOJ Summary of Opinions,,,
2018-01-30 19:50:00,JPY,Low Impact Expected,Prelim Industrial Production m/m,2.7%,1.5%,0.5%
2018-01-30 20:01:00,GBP,Low Impact Expected,BRC Shop Price Index y/y,-0.5%,,-0.6%
2018-01-30 20:01:00,GBP,Low Impact Expected,GfK Consumer Confidence,-9,-13,-13
2018-01-30 20:30:00,AUD,High Impact Expected,CPI q/q,0.6%,0.7%,0.6%
2018-01-30 20:30:00,AUD,High Impact Expected,Trimmed Mean CPI q/q,0.4%,0.5%,0.4%
2018-01-30 20:30:00,AUD,Low Impact Expected,Private Sector Credit m/m,0.3%,0.5%,0.5%
2018-01-30 20:53:00,CNY,Medium Impact Expected,Non-Manufacturing PMI,55.3,,55.0
2018-01-30 20:54:00,CNY,Medium Impact Expected,Manufacturing PMI,51.3,51.5,51.6
2018-01-30 22:00:00,USD,High Impact Expected,President Trump Speaks,,,
2018-01-31 01:00:00,JPY,Low Impact Expected,Housing Starts y/y,-2.1%,1.1%,-0.4%
2018-01-31 01:02:00,JPY,Low Impact Expected,Consumer Confidence,44.7,44.9,44.7
2018-01-31 03:00:00,CHF,Low Impact Expected,UBS Consumption Indicator,1.69,,1.73
2018-01-31 03:00:00,EUR,Medium Impact Expected,German Retail Sales m/m,-1.9%,-0.3%,1.9%
2018-01-31 03:45:00,EUR,Low Impact Expected,French Prelim CPI m/m,-0.1%,-0.3%,0.3%
2018-01-31 04:00:00,EUR,Medium Impact Expected,Spanish Flash CPI y/y,0.5%,0.9%,1.1%
2018-01-31 04:55:00,EUR,Low Impact Expected,German Unemployment Change,-25K,-16K,-30K
2018-01-31 05:00:00,CHF,Low Impact Expected,Credit Suisse Economic Expectations,34.5,,52.0
2018-01-31 05:00:00,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,10.8%,10.9%,10.9%
2018-01-31 06:00:00,EUR,High Impact Expected,CPI Flash Estimate y/y,1.3%,1.3%,1.4%
2018-01-31 06:00:00,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,1.0%,1.0%,0.9%
2018-01-31 06:00:00,EUR,Low Impact Expected,Unemployment Rate,8.7%,8.7%,8.7%
2018-01-31 09:15:00,USD,High Impact Expected,ADP Non-Farm Employment Change,234K,186K,242K
2018-01-31 09:30:00,CAD,High Impact Expected,GDP m/m,0.4%,0.4%,0.0%
2018-01-31 09:30:00,CAD,Medium Impact Expected,RMPI m/m,-0.9%,-2.2%,5.4%
2018-01-31 09:30:00,CAD,Low Impact Expected,IPPI m/m,-0.1%,-0.2%,1.4%
2018-01-31 09:30:00,USD,Medium Impact Expected,Employment Cost Index q/q,0.6%,0.6%,0.7%
2018-01-31 10:45:00,USD,Medium Impact Expected,Chicago PMI,65.7,64.2,67.6
2018-01-31 11:00:00,USD,Medium Impact Expected,Pending Home Sales m/m,0.5%,0.5%,0.3%
2018-01-31 11:30:00,USD,High Impact Expected,Crude Oil Inventories,6.8M,0.1M,-1.1M
2018-01-31 15:00:00,USD,High Impact Expected,FOMC Statement,,,
2018-01-31 15:00:00,USD,High Impact Expected,Federal Funds Rate,<1.50%,<1.50%,<1.50%
2018-01-31 18:30:00,AUD,Low Impact Expected,AIG Manufacturing Index,58.7,,56.2
2018-01-31 20:30:00,AUD,Medium Impact Expected,Building Approvals m/m,-20.0%,-7.9%,12.6%
2018-01-31 20:30:00,AUD,Low Impact Expected,Import Prices q/q,2.0%,1.5%,-1.6%
2018-01-31 20:30:00,JPY,Low Impact Expected,Final Manufacturing PMI,54.8,54.4,54.4
2018-01-31 21:45:00,CNY,Medium Impact Expected,Caixin Manufacturing PMI,51.5,51.5,51.5
2018-01-31 23:45:00,JPY,Low Impact Expected,10-y Bond Auction,0.09|4.6,,0.08|3.7
2018-02-01 01:30:00,AUD,Low Impact Expected,Commodity Prices y/y,-0.6%,,-6.0%
2018-02-01 02:45:00,CHF,Low Impact Expected,SECO Consumer Climate,5,2,-2
2018-02-01 02:55:00,GBP,Low Impact Expected,Nationwide HPI m/m,0.6%,0.2%,0.6%
2018-02-01 04:15:00,CHF,Low Impact Expected,Retail Sales y/y,0.6%,1.5%,0.3%
2018-02-01 04:15:00,EUR,Low Impact Expected,Spanish Manufacturing PMI,55.2,55.7,55.8
2018-02-01 04:30:00,CHF,Low Impact Expected,Manufacturing PMI,65.3,64.1,65.2
2018-02-01 04:45:00,EUR,Low Impact Expected,Italian Manufacturing PMI,59.0,57.7,57.4
2018-02-01 04:50:00,EUR,Low Impact Expected,French Final Manufacturing PMI,58.4,58.1,58.1
2018-02-01 04:55:00,EUR,Low Impact Expected,German Final Manufacturing PMI,61.1,61.2,61.2
2018-02-01 05:00:00,EUR,Low Impact Expected,Final Manufacturing PMI,59.6,59.6,59.6
2018-02-01 05:30:00,GBP,High Impact Expected,Manufacturing PMI,55.3,56.5,56.2
2018-02-01 06:00:00,EUR,Low Impact Expected,French 10-y Bond Auction,0.98|2.0,,0.79|1.4
2018-02-01 08:30:00,USD,Low Impact Expected,Challenger Job Cuts y/y,-2.8%,,-3.6%
2018-02-01 09:30:00,USD,Medium Impact Expected,Prelim Nonfarm Productivity q/q,-0.1%,0.8%,2.7%
2018-02-01 09:30:00,USD,Medium Impact Expected,Prelim Unit Labor Costs q/q,2.0%,0.9%,-0.2%
2018-02-01 09:30:00,USD,Medium Impact Expected,Unemployment Claims,230K,237K,231K
2018-02-01 10:30:00,CAD,Low Impact Expected,Manufacturing PMI,55.9,,54.7
2018-02-01 10:45:00,USD,Low Impact Expected,Final Manufacturing PMI,55.5,55.5,55.5
2018-02-01 11:00:00,USD,High Impact Expected,ISM Manufacturing PMI,59.1,58.7,59.7
2018-02-01 11:00:00,USD,Low Impact Expected,Construction Spending m/m,0.7%,0.4%,0.6%
2018-02-01 11:00:00,USD,Low Impact Expected,ISM Manufacturing Prices,72.7,68.3,69.0
2018-02-01 11:30:00,USD,Low Impact Expected,Natural Gas Storage,-99B,-102B,-288B
2018-02-01 00:00:00,USD,Low Impact Expected,Total Vehicle Sales,17.2M,17.2M,17.9M
2018-02-01 17:45:00,NZD,Low Impact Expected,Building Consents m/m,-9.6%,,9.6%
2018-02-01 17:45:00,NZD,Low Impact Expected,Visitor Arrivals m/m,-2.8%,,2.5%
2018-02-01 19:50:00,JPY,Low Impact Expected,Monetary Base y/y,9.7%,11.0%,11.2%
2018-02-01 20:30:00,AUD,Low Impact Expected,PPI q/q,0.6%,0.4%,0.2%
2018-02-02 04:00:00,EUR,Medium Impact Expected,Spanish Unemployment Change,63.7K,50.3K,-61.5K
2018-02-02 05:30:00,GBP,High Impact Expected,Construction PMI,50.2,52.0,52.2
2018-02-02 06:00:00,EUR,Low Impact Expected,PPI m/m,0.2%,0.3%,0.6%
2018-02-02 06:00:00,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.2%,0.3%,0.4%
2018-02-02 09:30:00,USD,High Impact Expected,Average Hourly Earnings m/m,0.3%,0.2%,0.4%
2018-02-02 09:30:00,USD,High Impact Expected,Non-Farm Employment Change,200K,181K,160K
2018-02-02 09:30:00,USD,High Impact Expected,Unemployment Rate,4.1%,4.1%,4.1%
2018-02-02 11:00:00,USD,Medium Impact Expected,Revised UoM Consumer Sentiment,95.7,95.0,94.4
2018-02-02 11:00:00,USD,Low Impact Expected,Factory Orders m/m,1.7%,1.5%,1.7%
2018-02-02 11:00:00,USD,Low Impact Expected,Revised UoM Inflation Expectations,2.7%,,2.8%
2018-02-02 15:30:00,USD,Medium Impact Expected,FOMC Member Williams Speaks,,,
2018-02-04 18:30:00,AUD,Low Impact Expected,AIG Services Index,54.9,,52.0
2018-02-04 20:00:00,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.3%,,0.1%
2018-02-04 20:00:00,NZD,Low Impact Expected,ANZ Commodity Prices m/m,0.7%,,-1.9%
2018-02-04 20:30:00,AUD,Low Impact Expected,ANZ Job Advertisements m/m,6.2%,,-2.7%
2018-02-04 21:45:00,CNY,Medium Impact Expected,Caixin Services PMI,54.7,53.6,53.9
2018-02-05 04:15:00,EUR,Low Impact Expected,Spanish Services PMI,56.9,55.2,54.6
2018-02-05 04:45:00,EUR,Low Impact Expected,Italian Services PMI,57.7,56.1,55.4
2018-02-05 04:50:00,EUR,Low Impact Expected,French Final Services PMI,59.2,59.3,59.3
2018-02-05 04:55:00,EUR,Low Impact Expected,German Final Services PMI,57.3,57.0,57.0
2018-02-05 05:00:00,EUR,Low Impact Expected,Final Services PMI,58.0,57.6,57.6
2018-02-05 05:30:00,EUR,Low Impact Expected,Sentix Investor Confidence,31.9,33.2,32.9
2018-02-05 05:30:00,GBP,High Impact Expected,Services PMI,53.0,54.1,54.2
2018-02-05 06:00:00,EUR,Low Impact Expected,Retail Sales m/m,-1.1%,-1.1%,2.0%
2018-02-05 10:45:00,USD,Low Impact Expected,Final Services PMI,53.3,53.3,53.3
2018-02-05 11:00:00,USD,High Impact Expected,ISM Non-Manufacturing PMI,59.9,56.5,55.9
2018-02-05 12:00:00,EUR,High Impact Expected,ECB President Draghi Speaks,,,
2018-02-05 15:00:00,USD,Low Impact Expected,Loan Officer Survey,,,
2018-02-05 00:00:00,NZD,Non-Economic,Bank Holiday,,,
2018-02-05 20:01:00,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,0.6%,,0.6%
2018-02-05 20:30:00,AUD,High Impact Expected,Retail Sales m/m,-0.5%,-0.2%,1.3%
2018-02-05 20:30:00,AUD,High Impact Expected,Trade Balance,-1.36B,0.25B,0.04B
2018-02-05 23:30:00,AUD,High Impact Expected,RBA Rate Statement,,,
2018-02-05 23:30:00,AUD,Medium Impact Expected,Cash Rate,1.50%,1.50%,1.50%
2018-02-06 03:00:00,EUR,Low Impact Expected,German Factory Orders m/m,3.8%,0.6%,-0.1%
2018-02-06 03:45:00,EUR,Low Impact Expected,French Gov Budget Balance,-67.8B,,-84.7B
2018-02-06 05:00:00,EUR,Medium Impact Expected,German Buba President Weidmann Speaks,,,
2018-02-06 05:10:00,EUR,Low Impact Expected,Retail PMI,50.8,,53.0
2018-02-06 09:30:00,CAD,High Impact Expected,Trade Balance,-3.2B,-2.3B,-2.7B
2018-02-06 09:30:00,USD,Low Impact Expected,Trade Balance,-53.1B,-52.1B,-50.4B
2018-02-06 10:36:00,NZD,Medium Impact Expected,GDT Price Index,5.9%,,4.9%
2018-02-06 11:00:00,CAD,Medium Impact Expected,Ivey PMI,55.2,60.7,60.4
2018-02-06 11:00:00,USD,Low Impact Expected,JOLTS Job Openings,5.81M,5.95M,5.98M
2018-02-06 11:01:00,USD,Low Impact Expected,IBD/TIPP Economic Optimism,56.7,55.4,55.1
2018-02-06 17:45:00,NZD,High Impact Expected,Employment Change q/q,0.5%,0.4%,2.2%
2018-02-06 17:45:00,NZD,High Impact Expected,Unemployment Rate,4.5%,4.7%,4.6%
2018-02-06 17:45:00,NZD,Low Impact Expected,Labor Cost Index q/q,0.4%,0.5%,0.7%
2018-02-06 18:30:00,AUD,Low Impact Expected,AIG Construction Index,54.3,,52.8
2018-02-06 20:00:00,JPY,Low Impact Expected,Average Cash Earnings y/y,0.7%,0.6%,0.9%
2018-02-07 01:00:00,JPY,Low Impact Expected,Leading Indicators,107.9%,108.1%,108.3%
2018-02-07 03:00:00,EUR,Low Impact Expected,German Industrial Production m/m,-0.6%,-0.7%,3.1%
2018-02-07 03:45:00,EUR,Low Impact Expected,French Trade Balance,-3.5B,-4.8B,-5.6B
2018-02-07 04:00:00,CHF,Low Impact Expected,Foreign Currency Reserves,731B,,744B
2018-02-07 04:30:00,GBP,Medium Impact Expected,Halifax HPI m/m,-0.6%,0.2%,-0.8%
2018-02-07 05:03:00,EUR,Low Impact Expected,Italian Retail Sales m/m,-0.3%,-0.1%,0.9%
2018-02-07 06:33:00,EUR,Low Impact Expected,German 10-y Bond Auction,0.69|1.5,,0.54|1.1
2018-02-07 07:30:00,EUR,Medium Impact Expected,EU Economic Forecasts,,,
2018-02-07 09:30:00,CAD,Medium Impact Expected,Building Permits m/m,4.8%,2.1%,-7.3%
2018-02-07 09:30:00,USD,Medium Impact Expected,FOMC Member Dudley Speaks,,,
2018-02-07 11:30:00,USD,High Impact Expected,Crude Oil Inventories,1.9M,3.2M,6.8M
2018-02-07 14:01:00,USD,Low Impact Expected,10-y Bond Auction,2.81|2.3,,2.58|2.7
